date,S. No.,open,high,low,close,adjusted close,volume,dividend amount,split cf
2020-09-10,306,122.53,123.5764,120.24,120.56,108.1660989,3978805,0,1
2020-09-09,307,122.13,123.7,121.29,122.26,109.6913343,3770678,0,1
2020-09-08,308,122.16,122.87,120.71,121.21,108.7492772,5210292,0,1
2020-09-04,309,124.35,125.35,121.24,122.3,109.7272221,6018238,0,1
2020-09-03,310,128.19,129.95,123.65,124.45,111.6561962,5716750,0,1
2020-09-02,311,123.72,128.7,123.575,128.18,115.0027419,6592430,0,1
2020-09-01,312,122.85,123.95,122.15,123.4,110.7141391,3155623,0,1
2020-08-31,313,125.25,125.25,123.03,123.31,110.6333914,4827879,0,1
2020-08-28,314,124.96,125.3,124.2187,125.07,112.2124585,3099940,0,1
2020-08-27,315,124.6,125.1,123.98,124.65,111.8356357,3422654,0,1
2020-08-26,316,124.95,125.12,123.95,124.17,111.404981,3388687,0,1
2020-08-25,317,126,126.82,124.49,124.64,111.8266637,2977697,0,1
2020-08-24,318,123.79,126.06,123.36,125.68,112.7597488,4070816,0,1
2020-08-21,319,123.01,123.4842,122.31,123.16,110.4988118,3385051,0,1
2020-08-20,320,123.2,124.04,122.81,123.15,110.4898398,2561164,0,1
2020-08-19,321,124.83,125.5,123.5,123.84,111.1089059,3743949,0,1
2020-08-18,322,125,125.5,124.24,124.92,112.0778789,2882355,0,1
2020-08-17,323,125.25,125.59,124.41,124.44,111.6472242,3336459,0,1
2020-08-14,324,124.2,125.56,123.91,125.27,112.3918979,2963753,0,1
2020-08-13,325,125.96,126.39,124.77,125.03,112.1765706,3171258,0,1
2020-08-12,326,127.61,127.79,125.876,126.7,113.67489,3530177,0,1
2020-08-11,327,128.76,130.47,126.61,126.75,113.7197498,5001176,0,1
2020-08-10,328,125.42,127.24,125.1849,127.11,114.0427409,3968295,0,1
2020-08-07,329,123.5,125.07,123.21,124.96,112.1137668,3651226,1.63,1
2020-08-06,330,125,126.26,125,126.12,111.6975138,3417131,0,1
2020-08-05,331,126.73,126.75,124.61,125.45,111.1041318,3675400,0,1
2020-08-04,332,123.82,125.86,123.82,125.84,111.4495332,3431366,0,1
